ID,Pollster,Polls,Live Caller With Cellphones,Internet,NCPP/AAPOR/Roper,Polls.1,Simple Average Error,Races Called Correctly,Advanced Plus-Minus,Predictive Plus-Minus,538 Grade,Banned by 538,Mean-Reverted Bias
1,Monmouth University,71,yes,no,yes,41,5.488592,0.8521127000000001,-1.452013,-1.200763,A+,no,0.5892957
2,Field Research Corporation (Field Poll),25,yes,no,yes,17,3.8568,1.0,-2.54074,-1.142149,A+,no,-1.095745
3,Selzer & Company,37,yes,no,yes,24,4.620541,0.8378378000000001,-1.624378,-1.119856,A+,no,-0.0074074
4,Elway Research,18,yes,no,yes,16,3.987778,0.8888889000000001,-2.306804,-0.98125,A+,no,0.481087
5,Ciruli Associates,17,yes,no,yes,16,3.604118,0.9411765,-2.0022580000000003,-0.9534630999999999,A+,no,-0.7176087
6,ABC News/Washington Post,51,yes,no,yes,46,3.021961,0.7843137,-1.041506,-0.8607013000000001,A+,no,0.5755263
7,Grove Insight,29,yes,no,no,29,3.140344,0.8965517,-2.512963,-0.8169233,A,no,0.48084750000000004
8,Marist College,146,yes,no,yes,85,5.395822,0.8801370000000001,-0.8353609000000001,-0.8118232,A,no,-0.6708696
9,Muhlenberg College,22,yes,no,yes,21,3.493636,0.9090908999999999,-1.327424,-0.7950341999999999,A,no,-0.4982353
10,National Journal,12,yes,no,yes,12,2.5966669999999996,1.0,-2.609999,-0.7897959,A,no,-0.1785714
11,Public Policy Institute of California,12,yes,no,yes,8,4.065,1.0,-1.9927540000000001,-0.7877255,A,no,-0.7092106
12,SurveyUSA,763,no,no,yes,597,4.62772,0.9017038,-0.9754659999999999,-0.756749,A,no,0.09031900000000001
13,University of Cincinnati (Ohio Poll),38,yes,no,yes,29,3.7292110000000003,0.9342104999999999,-0.9062568000000001,-0.7280639,A,no,-1.453051
14,Siena College,42,yes,no,yes,38,5.331666,0.8452381,-0.8431964,-0.7085312,A,no,-0.2779412
15,Fairleigh Dickinson University (PublicMind),18,yes,no,yes,17,4.0777779999999995,0.9444444,-1.250776,-0.700291,A,no,0.045106400000000005
16,"Research & Polling, Inc.",26,yes,no,no,25,4.136154,0.8461539,-1.693069,-0.6159658,A,no,-0.6661818
17,Fox News/Anderson Robbins Research/Shaw & Company Research,24,yes,no,yes,9,6.39625,0.6458333,-0.7573535,-0.5699349,A,no,0.4471795
18,Marquette University,7,yes,no,yes,4,2.594286,1.0,-3.7625629999999997,-0.569905,A,no,-0.05941180000000001
19,Behavior Research Center (Rocky Mountain),7,yes,no,yes,5,3.46,0.7142857,-2.487332,-0.569905,A,no,0.08800000000000001
20,Blum & Weprin Associates,18,yes,no,no,16,4.557777,0.9444444,-2.592506,-0.563125,A,no,-1.034565
21,NBC News/Wall Street Journal,25,yes,no,yes,20,4.1820010000000005,0.74,-0.607908,-0.5093797000000001,A-,no,0.4582
22,University of Connecticut,7,yes,no,yes,7,3.64,0.9285714,-1.555947,-0.4858951,A-,no,-0.3637838
23,Time/Abt SRBI,7,yes,no,yes,6,3.172857,1.0,-1.545493,-0.48391720000000005,A-,no,0.4425
24,Angus Reid Global,29,no,yes,no,29,3.2696549999999998,0.9310345,-1.996648,-0.4183522,A-,no,-1.3376270000000001
25,Ipsos,49,no,yes,yes,43,4.2542860000000005,0.7755102,-0.9168712,-0.4141193,A-,no,0.1450685
26,Quinnipiac University,169,yes,no,yes,117,4.664438,0.8727809999999999,-0.34311020000000003,-0.39863990000000005,A-,no,-0.6578911999999999
27,University of Arkansas,4,yes,no,yes,4,2.4325,1.0,-5.493968,-0.3982699,A-,no,0.2861765
28,IBD/TIPP,17,yes,no,no,17,2.307059,0.7647059,-1.555318,-0.37269759999999996,A-,no,-0.7468085
29,CBS News/New York Times,55,yes,no,yes,45,4.729818,0.7545455,-0.2623802,-0.3694986,A-,no,0.6442667
30,CNN/Opinion Research Corp.,89,yes,no,yes,61,5.464830999999999,0.7584270000000001,-0.2757123,-0.3671682,A-,no,-0.1073626
31,Los Angeles Times,40,yes,no,yes,24,5.23775,0.8625,-0.23776039999999998,-0.3550468,A-,no,-0.6116666999999999
32,MassINC Polling Group,11,yes,no,no,7,3.081819,1.0,-2.434031,-0.32213559999999997,A-,no,-0.17756760000000002
33,St. Norbert College,12,yes,no,no,11,3.8683330000000002,0.875,-1.8385939999999998,-0.3159249,A-,no,0.2531707
34,EPIC-MRA,43,yes,no,no,38,5.080698,0.8372093,-0.7529311,-0.2872285,A-,no,-0.35308829999999997
35,Western New England University,11,yes,no,yes,10,5.827272,0.8636364,-0.25349829999999995,-0.2825269,A-,no,-1.1520000000000001
36,University of North Florida,4,yes,no,yes,2,4.490001,0.5,-0.9633091,-0.2763063,B+,no,0.31625
37,University of New Hampshire,93,yes,no,yes,77,5.252903,0.8763440999999998,-0.1389312,-0.2622139,B+,no,1.658318
38,High Point University,2,yes,no,yes,2,0.9499989,1.0,-5.644591,-0.2609375,B+,no,0.005625
39,Indiana University,2,yes,no,yes,2,0.8549995000000001,1.0,-4.171918,-0.2609375,B+,no,0.0534375
40,GfK Group,19,no,yes,yes,19,3.398947,0.9210526,-1.114287,-0.2479431,B+,no,-0.09142860000000001
41,Castleton University,3,yes,no,yes,0,9.933333,1.0,-1.000844,-0.24139899999999997,B+,no,
42,Lake Research Partners,9,yes,no,no,9,3.8455550000000005,0.8333333,-2.325385,-0.2354438,B+,no,0.4976923
43,Princeton Survey Research Associates International,32,yes,no,yes,31,4.63125,0.6875,0.0001773,-0.2281083,B+,no,0.2577049
44,Garin-Hart-Yang Research Group,22,yes,no,no,22,5.312727,0.8636364,-0.8991593000000001,-0.20328339999999998,B+,no,1.289231
45,Franklin & Marshall College,18,yes,no,yes,15,5.743888,0.9444444,0.0993153,-0.1940068,B+,no,-0.3782222
46,"RKM Research and Communications, Inc.",26,yes,no,no,18,5.593077,0.8653846,-0.7785377,-0.1913619,B+,no,-0.20625
47,University of South Alabama,8,yes,no,no,8,2.75125,1.0,-3.00668,-0.18825479999999997,B+,no,-0.4060526
48,University of Florida,1,yes,no,yes,1,1.07,0.5,-2.230408,-0.18376689999999998,B+,no,0.0345161
49,"Mason-Dixon Polling & Research, Inc.",415,yes,no,no,355,5.212409,0.8614458,-0.38002040000000004,-0.1782705,B+,no,-0.9653246999999999
50,Pew Research Center,20,yes,no,yes,20,3.4155,0.575,0.145644,-0.1745424,B+,no,0.5542
51,"National Research, Inc.",8,yes,no,no,6,5.0575,0.8125,-1.9224919999999999,-0.1719374,B+,no,-0.4511111
52,Market Shares Corp.,26,yes,no,yes,22,6.78423,0.8461539,0.18698220000000002,-0.1458399,B+,no,-1.730577
53,Fleming & Associates,15,yes,no,no,13,5.078,1.0,-1.01001,-0.14000320000000002,B+,no,-0.2902325
54,Market Research Insight,7,yes,no,no,5,1.784285,1.0,-4.398869,-0.13819579999999998,B+,no,0.18914289999999997
55,Montana State University Billings,7,yes,no,no,7,3.6071419999999996,0.5714286,-3.66488,-0.13819579999999998,B+,no,0.5591891999999999
56,Riley Research Associates,7,yes,no,no,7,2.657143,1.0,-2.378693,-0.13819579999999998,B+,no,-0.11891889999999998
57,Vanderbilt University,1,yes,no,yes,0,8.9,1.0,0.4947172,-0.1032922,B+,no,
58,Elon University,4,yes,no,yes,4,3.960001,0.5,0.7268667,-0.0774621,B+,no,0.3794118
59,RT Strategies,42,yes,no,yes,42,5.7623809999999995,0.7142857,0.2686314,-0.059965,B+,no,1.091944
60,Public Policy Polling,383,no,no,no,263,4.918433,0.8237598,-0.49645100000000003,-0.054238999999999996,B+,no,-0.2037543
61,Greenberg Quinlan Rosner/American Viewpoint,5,yes,no,no,4,4.444001,1.0,-2.78075,-0.0283673,B+,no,-0.5597059
62,Ward Research (Honolulu Star-Advertiser),14,yes,no,no,14,6.003572,0.75,-0.7039244,-0.0234388,B+,no,-0.5524998999999999
63,"Harstad Strategic Research, Inc.",9,yes,no,no,9,3.806667,0.7222221999999999,-1.039461,-0.013781100000000001,B+,no,0.7753846999999999
64,Temple University,6,no,no,yes,5,3.66,1.0,-1.505706,-0.0026177,B+,no,-0.3531428
65,Suffolk University,67,yes,no,no,36,5.202538,0.8208955,-0.2230502,-0.0007645,B+,no,0.7319697
66,Pan Atlantic SMS Group,17,yes,no,no,15,6.7782350000000005,0.9117646999999999,-0.5243747,0.0001968,B+,no,0.9171110999999998
67,University of Washington,10,yes,no,no,10,3.9889989999999997,1.0,-0.871708,0.002073,B,no,0.22975
68,Clemson University,5,yes,no,no,1,10.296,1.0,-1.740682,0.008678100000000001,B,no,-0.5387097
69,American Viewpoint,6,yes,no,no,6,3.958333,0.6666667,-1.350454,0.0232577,B,no,-0.6297222
70,Strategies 360,4,yes,no,no,4,2.035001,0.625,-3.1528150000000004,0.0320415,B,no,-0.0664706
71,"Davis, Hibbitts & Midghall, Inc.",12,yes,no,no,10,4.274166999999999,0.8333333,-0.5770274999999999,0.0445228,B,no,-0.04625
72,Pharos Research Group,31,yes,no,no,31,4.044839,0.9193549000000001,-0.20871439999999997,0.05789059999999999,F,yes,0.8706558000000001
73,Google Consumer Surveys,12,no,yes,no,12,2.224998,0.8333333,-1.9447279999999998,0.0815063,B,no,-0.6290475999999999
74,University of Massachusetts Amherst,11,yes,no,no,2,6.527272,1.0,-0.4717854,0.0878732,B,no,-0.4478125
75,Philadelphia Inquirer,4,yes,no,no,4,2.98,1.0,-1.4728290000000002,0.09406160000000001,B,no,-0.3141177
76,"Keating Research, Inc.",3,yes,no,no,3,2.220001,0.6666667,-3.04524,0.0966116,B,no,-0.023636400000000002
77,Missouri State University,3,yes,no,no,3,4.366669,0.6666667,-2.393266,0.0966116,B,no,0.3727273
78,Mellman Group,21,yes,no,no,21,4.853333,0.7857143,-0.1846877,0.10322550000000001,B,no,1.640784
79,Cole Hargrave Snodgrass & Associates,4,yes,no,no,3,6.345,0.75,-1.27962,0.1167922,B,no,0.3130303
80,University of Massachusetts Lowell,14,yes,no,no,6,5.262144,0.9285714,-0.2432433,0.12314160000000002,B,no,-0.14527779999999998
81,YouGov,707,no,yes,no,652,6.679067,0.927157,-0.2802982,0.1257655,B,no,1.598431
82,Voter/Consumer Research,6,yes,no,no,5,5.523332,1.0,-0.7016245,0.13139589999999998,B,no,-0.20800000000000002
83,SoonerPoll.com,16,yes,no,yes,12,8.496250999999999,0.8125,1.036585,0.13200699999999999,B,no,1.8173810000000001
84,Richmond Times-Dispatch,4,yes,no,no,4,3.3025,1.0,-1.0942530000000001,0.1386,B,no,0.34147059999999996
85,The Polling Company Inc.,3,yes,no,no,3,3.66,1.0,-1.482646,0.1436438,B,no,-0.0339394
86,Tarrance Group,24,yes,no,no,20,6.156667,0.8333333,-0.0477479,0.152112,B,no,-0.6604
87,Public Opinion Strategies,53,yes,no,no,51,5.884529,0.6603774,-0.0024708,0.1523213,B,no,-1.914321
88,Market Decisions,4,yes,no,no,4,5.164999,1.0,-0.9643474,0.153883,B,no,-0.0535294
89,McKeon & Associates,2,yes,no,no,1,0.9050007,1.0,-6.63812,0.16578120000000002,B,no,-0.027741900000000003
90,RBI Strategies & Research,2,yes,no,no,1,0.7049999,1.0,-6.571611999999999,0.16578120000000002,B,no,-0.0219355
91,Frederick Polls,2,yes,no,no,1,2.384998,0.75,-4.91725,0.16578120000000002,B,no,-0.0187097
92,APC Research,2,yes,no,no,2,2.530001,1.0,-3.4755480000000003,0.16578120000000002,B,no,0.158125
93,Tulchin Research,2,yes,no,no,2,3.4500010000000003,1.0,-3.162069,0.16578120000000002,B,no,-0.215625
94,GBA Strategies,2,yes,no,no,2,3.689999,1.0,-2.702554,0.16578120000000002,B,no,-0.230625
95,Stockton College,5,yes,no,no,5,4.468001,1.0,-0.6040429,0.17105510000000002,B,no,0.5291429
96,Knowledge Networks,3,no,yes,yes,1,4.093333,1.0,-1.1371040000000001,0.1750567,B,no,-0.008387100000000001
97,Kiley & Company,2,yes,no,no,2,5.1,1.0,-1.715313,0.18357420000000002,B,no,0.2125
98,New England College,15,no,no,no,15,3.016667,0.7666666999999999,-1.28471,0.1917635,B,no,-0.618
99,Moore Information,6,yes,no,no,6,6.453334,0.6666667,-0.32341149999999996,0.19443139999999998,B,no,-0.4694445
100,Landmark Communications,24,no,no,no,18,4.905416000000001,0.875,-0.8656572,0.1952635,B,no,0.520625
101,"Market Research Institute, Inc.",9,no,no,no,9,2.9322209999999997,1.0,-2.360387,0.1953846,B,no,-0.32641020000000004
102,"Glengariff Group, Inc.",7,yes,no,no,6,4.742857,0.7142857,-0.23333560000000003,0.19603810000000002,B,no,-0.0844445
103,Wilson Perkins Allen Opinion Research,3,yes,no,no,3,6.046667,0.6666667,-0.8394504,0.2021161,B,no,-0.26
104,Tel Opinion Research,12,yes,no,no,10,4.71,0.9583333,-0.023296400000000002,0.2027316,B,no,-0.033
105,"Strategic Vision, LLC",129,no,no,no,106,3.9775970000000003,0.875969,-0.2980322,0.2061248,F,yes,-1.875662
106,Fox News/Opinion Dynamics Corp.,34,no,no,yes,28,3.916764,0.7205882,0.0941152,0.21128779999999997,B,no,-0.47362070000000006
107,Louisville Courier-Journal,10,no,no,no,10,3.298,0.8,-1.7492240000000001,0.212694,B,no,-0.3155
108,Vox Populi Communications,11,no,no,no,9,4.053637,0.7727273,-1.557624,0.2255154,B,no,-0.045641
109,University of Houston,1,yes,no,no,0,2.009998,1.0,-6.566730000000001,0.240052,B,no,
110,Florida International University/Univision,1,yes,no,no,1,1.8000029999999998,1.0,-5.67379,0.240052,B,no,0.0580645
111,QEV Analytics,1,yes,no,no,0,7.299999000000001,0.0,-1.930019,0.24230949999999998,B,no,
112,Merrill Poll,2,yes,no,no,0,8.719999000000001,1.0,-0.7337289,0.2449232,B,no,
113,Hampton University,1,yes,no,no,1,3.48,1.0,-1.7585060000000001,0.2478422,B,no,0.11225810000000001
114,Hill Research Consultants,4,yes,no,no,4,5.445002,0.5,-0.14373429999999998,0.25042570000000003,B,no,-0.3717647
115,Clarity Campaign Labs,4,yes,no,no,4,3.222499,0.625,-0.1181453,0.2534362,B,no,0.37617649999999997
116,University of Wisconsin (Badger Poll),6,no,no,yes,5,6.928335000000001,0.8333333,0.043218099999999995,0.2555363,B,no,0.1785714
117,Financial Dynamics,15,no,no,no,15,2.767334,1.0,-1.0824049999999998,0.2591983,B,no,-0.6588889
118,George Washington University (Battleground),32,yes,no,no,32,3.4775,0.5625,0.18847339999999999,0.2602735,B,no,-1.0003229999999999
119,Emerson College,34,no,no,yes,7,7.877353,0.8382353000000001,0.1891719,0.2617866,B,no,-1.336216
120,"Fabrizio, Lee & Associates",2,yes,no,no,2,5.914999,0.5,-0.3674788,0.2678138,B,no,0.3621875
121,Dartmouth College,2,yes,no,no,0,9.000001,1.0,-0.3594726,0.2683142,B,no,
122,Old Dominion University,1,yes,no,no,1,4.48,1.0,-0.9814691999999999,0.27290790000000004,B,no,0.1445161
123,Schoen Consulting,1,yes,no,no,1,2.269997,1.0,-0.7317172,0.2809644,B-,no,-0.07322580000000001
124,Dittman Research,9,yes,no,no,6,5.9000010000000005,1.0,0.23942049999999998,0.2813456,B-,no,1.011111
125,Baruch College,2,yes,no,no,0,5.664999,1.0,-0.11531559999999999,0.283574,B-,no,
126,Gallup,80,yes,no,yes,65,4.26975,0.7125,0.6398347,0.2952517,B-,no,-0.8367368000000001
127,Greenberg Quinlan Rosner (Democracy Corps),48,yes,no,no,47,4.389375,0.48958329999999994,0.22837929999999998,0.29533400000000004,B-,no,2.381169
128,"Yankelovich Partners, Inc.",6,no,no,yes,3,6.9900009999999995,0.41666670000000006,0.2964946,0.2977491,B-,no,-0.10909089999999999
129,Belden Russonello,2,yes,no,no,2,4.734999,1.0,0.18873289999999998,0.302577,B-,no,0.2078125
130,Probolsky Research,1,yes,no,no,1,4.8600010000000005,0.0,0.3057219,0.3144301,B-,no,-0.15677420000000003
131,"Susquehanna Polling & Research, Inc.",29,yes,no,no,24,5.260345,0.7931035,0.3159967,0.3214479,B-,no,0.062037
132,NPR,3,yes,no,no,3,4.98,0.1666667,0.49348770000000003,0.3232923,B-,no,0.0878788
133,University of Nevada Las Vegas,1,yes,no,no,0,8.999998,1.0,0.855173,0.3321544,B-,no,
134,CallFire,4,yes,no,no,4,3.9325010000000002,0.75,0.5555269,0.3326918,B-,no,-0.4626471
135,DFM Research,5,yes,no,no,5,6.2620000000000005,0.8,0.5289689000000001,0.3329139,B-,no,0.8945714
136,Victoria Research & Consulting,1,yes,no,no,1,8.050003,0.5,1.038904,0.33808119999999997,B-,no,0.2596774
137,Christopher Newport University,3,yes,no,no,3,6.789999000000001,1.0,0.7369769,0.3454276,B-,no,0.6172727
138,"Ethridge & Associates, LLC",6,no,no,no,6,2.671668,0.8333333,-2.362378,0.3466667,B-,no,-0.1202778
139,Clarus Research Group,3,yes,no,no,2,6.753332,1.0,0.8122739999999999,0.3522728,B-,no,0.505625
140,Virginia Commonwealth University,5,yes,no,no,5,4.898,1.0,0.7520551999999999,0.36478340000000004,B-,no,-0.27685709999999997
141,Benenson Strategy Group,9,yes,no,no,9,6.210001,0.5,0.6173753000000001,0.3685659,B-,no,0.6566666
142,Southern Media & Opinion Research,4,yes,no,no,2,6.4275,1.0,0.8638199000000001,0.3689615,B-,no,0.003125
143,Middle Tennessee State University,4,yes,no,no,3,8.01,1.0,0.8646795,0.36906259999999996,B-,no,0.11696969999999998
144,Capital Survey Research Center,11,no,no,no,4,7.756364,0.3636364,-1.020068,0.3697377,B-,no,0.0670588
145,Val Smith,1,yes,no,no,1,8.519997,1.0,2.047489,0.3706162,B-,no,-0.2748387
146,Hoffman Research Group,1,yes,no,no,1,7.09,1.0,2.152493,0.3740034,B-,no,-0.22870970000000002
147,Potomac Incorporated,8,no,no,no,6,4.5475,0.875,-1.350889,0.37981279999999995,B-,no,-0.5227778000000001
148,Harper Polling,9,no,no,no,5,4.128889,1.0,-1.147167,0.3921922,B-,no,0.254
149,Crawford Johnson & Northcott Inc.,5,no,no,no,1,4.649999,1.0,-2.97579,0.4028572,B-,no,0.10483869999999999
150,"Fairbank, Maslin, Maullin, Metz & Associates",7,yes,no,no,7,5.868571,0.7857143,0.8757483,0.40586469999999997,B-,no,1.048108
151,OpinionWorks,6,yes,no,no,6,7.3,0.9166667,0.9682027,0.4097005,B-,no,-0.5077778000000001
152,Rutgers University,13,yes,no,yes,13,5.684615,0.8461539,2.125943,0.4210937,B-,no,0.0981395
153,Feldman Group,1,yes,no,no,1,10.8,0.0,3.679445,0.4232599,B-,no,0.34838709999999995
154,"Schroth, Eldon & Associates",8,no,no,no,6,3.151251,0.875,-1.118056,0.4288304,B-,no,0.5586111
155,Overtime Politics,12,yes,no,no,0,9.816668,0.6666667,0.8134353,0.4417978,F,yes,
156,"North Star Opinion Research/Ayres, McHenry & Associates",2,yes,no,no,2,7.0300009999999995,0.5,2.5970779999999998,0.4530987,B-,no,-0.439375
157,"International Communications Research, Inc.",5,no,no,no,5,3.128002,0.2,-1.632694,0.4553295,B-,no,-0.07142860000000001
158,Wilson Research Strategies,10,yes,no,no,9,6.941,0.65,0.9508293999999999,0.45770730000000004,B-,no,-0.1258975
159,University of Texas,4,no,yes,no,4,1.202499,1.0,-5.019946,0.46235299999999996,B-,no,0.1285294
160,Orion Strategies,4,no,no,no,3,3.065,1.0,-3.6259050000000004,0.46235299999999996,B-,no,0.11757580000000001
161,Alabama State University,4,no,no,no,0,6.4000010000000005,0.5,-3.4309819999999998,0.46235299999999996,B-,no,
162,Northern Arizona University,4,no,no,no,4,3.5825,1.0,-3.265447,0.46235299999999996,B-,no,-0.39088229999999996
163,Marshall Marketing & Communications,4,no,no,no,3,2.785,1.0,-2.196468,0.46235299999999996,B-,no,-0.2
164,IVR Polls,4,no,no,no,0,4.049999,1.0,-2.178545,0.46235299999999996,B-,no,
165,"Gonzales Research & Marketing Strategies, Inc.",9,yes,no,no,8,6.387777,0.7777778000000001,1.0264389999999999,0.46296509999999996,B-,no,-0.44631579999999993
166,SocialSphere,2,yes,no,no,2,6.1399989999999995,1.0,2.892591,0.4715682,B-,no,-0.38375
167,Howey Politics/DePauw University,7,yes,no,no,6,6.798572,0.5714286,1.241041,0.4749742,B-,no,0.0952778
168,OnPoint,4,no,no,no,4,1.6524990000000002,1.0,-1.880882,0.4763669,B-,no,0.1926471
169,Scripps Howard,4,no,no,no,4,3.785,1.0,-1.8524599999999998,0.4797106,B-,no,-0.06529410000000001
170,Loras College,10,yes,no,no,6,9.705,0.7,1.042769,0.48069229999999996,B-,no,1.060833
171,KRC/Communications Research,22,no,no,no,11,6.891364,0.9090908999999999,-0.24660189999999999,0.4833607,B-,no,0.1941463
172,"Richard Day Research, Inc.",11,no,no,no,11,5.5045459999999995,1.0,-0.5917472,0.4846532,B-,no,-0.7704878000000001
173,"Frank N. Magid Associates, Inc.",4,no,no,no,4,4.634998,1.0,-1.810037,0.4847015,B-,no,0.5452942
174,Franklin Pierce University,21,yes,no,no,12,6.636666,0.8333333,0.7721329,0.49721040000000005,B-,no,1.279762
175,Penn Schoen Berland,18,no,yes,yes,18,7.587778,0.6666667,0.8800771999999999,0.5169039000000001,B-,no,2.52875
176,US News & World Report,3,no,no,no,3,1.916667,1.0,-4.68424,0.5254545999999999,B-,no,-0.07666669999999999
